row_id,microbusiness_density
1005_2022-01-01,1.1866289
1005_2022-02-01,1.2068269
1005_2022-03-01,1.196728
1005_2022-04-01,1.1916784
1005_2022-05-01,1.1866289
1005_2022-06-01,1.1916784
1005_2022-07-01,1.2169259
1005_2022-08-01,1.196728
1005_2022-09-01,1.2068269
1005_2022-10-01,1.2320744
1007_2019-08-01,1.3107775
1007_2019-09-01,1.3051759
1007_2019-10-01,1.2547613
1007_2019-11-01,1.2547613
1007_2019-12-01,1.2659646
1007_2020-01-01,1.2536378
1007_2020-02-01,1.2480412
1007_2020-03-01,1.2648309
1007_2020-04-01,1.2704276
1007_2020-05-01,1.2872174
1007_2020-06-01,1.3040072
1007_2020-07-01,1.3431834
1007_2020-08-01,1.3040072
1007_2020-09-01,1.320797
1007_2020-10-01,1.3263936
1007_2020-11-01,1.320797
1007_2020-12-01,1.3096038
1007_2021-01-01,1.3100437
1007_2021-02-01,1.2876498
1007_2021-03-01,1.2876498
1007_2021-04-01,1.2596574
1007_2021-05-01,1.2596574
1007_2021-06-01,1.2372634
1007_2021-07-01,1.2372634
1007_2021-08-01,1.2092711
1007_2021-09-01,1.1868771
1007_2021-10-01,1.1868771
1007_2021-11-01,1.231665
1007_2021-12-01,1.2092711
1007_2022-01-01,1.2141652
1007_2022-02-01,1.2366498
1007_2022-03-01,1.2647555
1007_2022-04-01,1.2535132
1007_2022-05-01,1.247892
1007_2022-06-01,1.2759978
1007_2022-07-01,1.3265879
1007_2022-08-01,1.2928611
1007_2022-09-01,1.3153456
1007_2022-10-01,1.28724
1009_2019-08-01,1.5441476
1009_2019-09-01,1.5758922
1009_2019-10-01,1.5464151
1009_2019-11-01,1.5736247
1009_2019-12-01,1.555485
1009_2020-01-01,1.5732168
1009_2020-02-01,1.5369989
1009_2020-03-01,1.5415261
1009_2020-04-01,1.5777441
1009_2020-05-01,1.5754805
1009_2020-06-01,1.5709532
1009_2020-07-01,1.602644
1009_2020-08-01,1.6049075
1009_2020-09-01,1.6479163
1009_2020-10-01,1.6411254
1009_2020-11-01,1.6411254
1009_2020-12-01,1.6139621
1009_2021-01-01,1.6120293
1009_2021-02-01,1.6887926
1009_2021-03-01,1.7000812
1009_2021-04-01,1.7023391
1009_2021-05-01,1.7204009
1009_2021-06-01,1.7136277
1009_2021-07-01,1.7158855
1009_2021-08-01,1.71137
1009_2021-09-01,1.729432
1009_2021-10-01,1.7316897
1009_2021-11-01,1.7339474
1009_2021-12-01,1.7520094
1009_2022-01-01,1.7529234
1009_2022-02-01,1.7777077
1009_2022-03-01,1.7979857
1009_2022-04-01,1.764189
1009_2022-05-01,1.7484171
1009_2022-06-01,1.7732015
1009_2022-07-01,1.8317825
1009_2022-08-01,1.8362887
1009_2022-09-01,1.8520604
1009_2022-10-01,1.8317825
1011_2019-08-01,0.92637151
1011_2019-09-01,0.99855632
1011_2019-10-01,0.9744947
1011_2019-11-01,1.0226179
1011_2019-12-01,1.0346487
1011_2020-01-01,1.0607169
1011_2020-02-01,1.0363326
1011_2020-03-01,1.0607169
1011_2020-04-01,1.0119483
1011_2020-05-01,0.89002681
1011_2020-06-01,0.92660326
1011_2020-07-01,0.91441113
1011_2020-08-01,0.95098758
1011_2020-09-01,0.92660326
1011_2020-10-01,0.93879539
1011_2020-11-01,0.87783468
1011_2020-12-01,0.87783468
1011_2021-01-01,0.86206895
1011_2021-02-01,0.80049258
1011_2021-03-01,0.82512313
1011_2021-04-01,0.86206895
1011_2021-05-01,0.87438422
1011_2021-06-01,0.87438422
1011_2021-07-01,0.8374384
1011_2021-08-01,0.82512313
1011_2021-09-01,0.80049258
1011_2021-10-01,0.7758621
1011_2021-11-01,0.80049258
1011_2021-12-01,0.8374384
1011_2022-01-01,0.84874588
1011_2022-02-01,0.87408155
1011_2022-03-01,0.92475295
1011_2022-04-01,0.91208512
1011_2022-05-01,0.91208512
1011_2022-06-01,0.93742085
1011_2022-07-01,0.95008868
1011_2022-08-01,0.96275651
1011_2022-09-01,0.97542435
1011_2022-10-01,0.98809224
1013_2019-08-01,0.6749807
1013_2019-09-01,0.73926461
1013_2019-10-01,0.71355104
1013_2019-11-01,1.0542556
1013_2019-12-01,1.0542556
1013_2020-01-01,1.0608706
1013_2020-02-01,1.0608706
1013_2020-03-01,1.0091209
1013_2020-04-01,0.99618345
1013_2020-05-01,0.99618345
1013_2020-06-01,1.0026522
1013_2020-07-01,0.76330942
1013_2020-08-01,0.76977813
1013_2020-09-01,0.78271556
1013_2020-10-01,0.80212176
1013_2020-11-01,0.77624685
1013_2020-12-01,0.76330942
1013_2021-01-01,0.7610746
1013_2021-02-01,1.7368113
1013_2021-03-01,1.7303064
1013_2021-04-01,1.7303064
1013_2021-05-01,1.8604046
1013_2021-06-01,1.8864243
1013_2021-07-01,1.8864243
1013_2021-08-01,1.8929292
1013_2021-09-01,1.9189488
1013_2021-10-01,1.9189488
1013_2021-11-01,1.9514734
1013_2021-12-01,1.9189488
1013_2022-01-01,1.9771615
1013_2022-02-01,1.944535
1013_2022-03-01,1.9771615
1013_2022-04-01,1.8531811
1013_2022-05-01,1.8075041
1013_2022-06-01,1.9836868
1013_2022-07-01,2.0424144
1013_2022-08-01,2.1076672
1013_2022-09-01,2.1663947
1013_2022-10-01,2.1859705
1015_2019-08-01,2.6915436
1015_2019-09-01,2.7037525
1015_2019-10-01,2.6937635
1015_2019-11-01,2.73927
1015_2019-12-01,2.7292807
1015_2020-01-01,2.7196281
1015_2020-02-01,2.7452114
1015_2020-03-01,2.7563348
1015_2020-04-01,2.8186247
1015_2020-05-01,2.8341973
1015_2020-06-01,2.8531067
1015_2020-07-01,2.8875887
1015_2020-08-01,2.9176214
1015_2020-09-01,2.8864763
1015_2020-10-01,2.9064982
1015_2020-11-01,2.8920381
1015_2020-12-01,2.8831394
1015_2021-01-01,2.8806906
1015_2021-02-01,2.7022505
1015_2021-03-01,2.6989048
1015_2021-04-01,2.6899829
1015_2021-05-01,2.6498339
1015_2021-06-01,2.6420271
1015_2021-07-01,2.6855218
1015_2021-08-01,2.6710236
1015_2021-09-01,2.6654472
1015_2021-10-01,2.6888676
1015_2021-11-01,2.6832914
1015_2021-12-01,2.6966743
1015_2022-01-01,2.7011335
1015_2022-02-01,2.7067165
1015_2022-03-01,2.7178829
1015_2022-04-01,2.7078333
1015_2022-05-01,2.6910837
1015_2022-06-01,2.7245827
1015_2022-07-01,2.7826476
1015_2022-08-01,2.7882307
1015_2022-09-01,2.8094468
1015_2022-10-01,2.8005137
1017_2019-08-01,1.4865423
1017_2019-09-01,1.3551559
1017_2019-10-01,1.3551559
1017_2019-11-01,1.3626637
1017_2019-12-01,1.3438942
1017_2020-01-01,1.3199105
1017_2020-02-01,1.3310962
1017_2020-03-01,1.3012677
1017_2020-04-01,1.3273677
1017_2020-05-01,1.3422819
1017_2020-06-01,1.3422819
1017_2020-07-01,1.349739
1017_2020-08-01,1.3795675
1017_2020-09-01,1.3795675
1017_2020-10-01,1.3795675
1017_2020-11-01,1.3609247
1017_2020-12-01,1.3385533
1017_2021-01-01,1.3837187
1017_2021-02-01,1.2821959
1017_2021-03-01,1.2821959
1017_2021-04-01,1.2934762
1017_2021-05-01,1.2821959
1017_2021-06-01,1.252115
1017_2021-07-01,1.2709156
1017_2021-08-01,1.2821959
1017_2021-09-01,1.3536379
1017_2021-10-01,1.3724384
1017_2021-11-01,1.3761985
1017_2021-12-01,1.4025192
1017_2022-01-01,1.4123334
1017_2022-02-01,1.4387674
1017_2022-03-01,1.4576489
1017_2022-04-01,1.4803066
1017_2022-05-01,1.4878592
1017_2022-06-01,1.4689778
1017_2022-07-01,1.5482799
1017_2022-08-01,1.5218458
1017_2022-09-01,1.5029644
1017_2022-10-01,1.4425437
1019_2019-08-01,1.1042767
1019_2019-09-01,1.0897467
1019_2019-10-01,1.0849034
1019_2019-11-01,1.0849034
1019_2019-12-01,1.0897467
1019_2020-01-01,1.079399
1019_2020-02-01,1.0696747
1019_2020-03-01,1.0745369
1019_2020-04-01,1.0599504
1019_2020-05-01,1.0842612
1019_2020-06-01,1.0599504
1019_2020-07-01,1.0745369
1019_2020-08-01,1.2106773
1019_2020-09-01,1.2058152
1019_2020-10-01,1.2155395
1019_2020-11-01,1.2349881
1019_2020-12-01,1.264161
1019_2021-01-01,1.2489108
1019_2021-02-01,1.1859813
1019_2021-03-01,1.1956627
1019_2021-04-01,1.2343886
1019_2021-05-01,1.2295479
1019_2021-06-01,1.2150257
1019_2021-07-01,1.2101849
1019_2021-08-01,1.2150257
1019_2021-09-01,1.2150257
1019_2021-10-01,1.2005035
1019_2021-11-01,1.2198664
1019_2021-12-01,1.2150257
1019_2022-01-01,1.1934196
1019_2022-02-01,1.32655
1019_2022-03-01,1.2171929
1019_2022-04-01,1.2409662
1019_2022-05-01,1.2457209
1019_2022-06-01,1.117345
1019_2022-07-01,1.1411183
1019_2022-08-01,1.131609
1019_2022-09-01,1.131609
1019_2022-10-01,1.117345
1021_2019-08-01,1.4253496
1021_2019-09-01,1.4343708
1021_2019-10-01,1.401293
1021_2019-11-01,1.4494061
1021_2019-12-01,1.4554203
1021_2020-01-01,1.460205
1021_2020-02-01,1.4692185
1021_2020-03-01,1.4091278
1021_2020-04-01,1.4511913
1021_2020-05-01,1.4902502
1021_2020-06-01,1.4782321
1021_2020-07-01,1.4812367
1021_2020-08-01,1.4902502
1021_2020-09-01,1.472223
1021_2020-10-01,1.4391731
1021_2020-11-01,1.4031187
1021_2020-12-01,1.3971096
1021_2021-01-01,1.3853979
1021_2021-02-01,1.5380012
1021_2021-03-01,1.5649312
1021_2021-04-01,1.6128067
1021_2021-05-01,1.6128067
1021_2021-06-01,1.6187911
1021_2021-07-01,1.6397367
1021_2021-08-01,1.6726511
1021_2021-09-01,1.6546978
1021_2021-10-01,1.6487134
1021_2021-11-01,1.6517056
1021_2021-12-01,1.6786356
1021_2022-01-01,1.6673118
1021_2022-02-01,1.6881531
1021_2022-03-01,1.7179266
1021_2022-04-01,1.7268586
1021_2022-05-01,1.7209039
1021_2022-06-01,1.7625867
1021_2022-07-01,1.8102242
1021_2022-08-01,1.7655641
1021_2022-09-01,1.7685415
1021_2022-10-01,1.8132015
1023_2019-08-01,1.0494181
1023_2019-09-01,1.0494181
1023_2019-10-01,1.0684984
1023_2019-11-01,1.0780386
1023_2019-12-01,1.0494181
1023_2020-01-01,1.0935252
1023_2020-02-01,1.1223022
1023_2020-03-01,1.1510792
1023_2020-04-01,1.1798561
1023_2020-05-01,1.1990408
1023_2020-06-01,1.2757794
1023_2020-07-01,1.2374101
1023_2020-08-01,1.2182255
1023_2020-09-01,1.2278178
1023_2020-10-01,1.2182255
1023_2020-11-01,1.1702638
1023_2020-12-01,1.1702638
1023_2021-01-01,1.1625654
1023_2021-02-01,1.3272622
1023_2021-03-01,1.3466382
1023_2021-04-01,1.3757024
1023_2021-05-01,1.3175741
1023_2021-06-01,1.3078861
1023_2021-07-01,1.3175741
1023_2021-08-01,1.4144546
1023_2021-09-01,1.4047666
1023_2021-10-01,1.4435186
1023_2021-11-01,1.4628948
1023_2021-12-01,1.4532068
1023_2022-01-01,1.4891741
1023_2022-02-01,1.4793769
1023_2022-03-01,1.5185657
1023_2022-04-01,1.5087684
1023_2022-05-01,1.5185657
1023_2022-06-01,1.587146
1023_2022-07-01,1.6557264
1023_2022-08-01,1.6361321
1023_2022-09-01,1.6459292
1023_2022-10-01,1.6851181
1025_2019-08-01,1.1564021
1025_2019-09-01,1.0517503
1025_2019-10-01,1.0465177
1025_2019-11-01,1.0465177
1025_2019-12-01,1.0465177
1025_2020-01-01,1.0737972
1025_2020-02-01,1.0211601
1025_2020-03-01,1.042215
1025_2020-04-01,1.0895884
1025_2020-05-01,1.058006
1025_2020-06-01,1.0264238
1025_2020-07-01,1.042215
1025_2020-08-01,1.058006
1025_2020-09-01,1.0843247
1025_2020-10-01,1.0527424
1025_2020-11-01,1.0632699
1025_2020-12-01,1.0632699
1025_2021-01-01,1.0455921
1025_2021-02-01,1.0084391
1025_2021-03-01,1.0031315
1025_2021-04-01,1.0296693
1025_2021-05-01,1.0084391
1025_2021-06-01,0.97659361
1025_2021-07-01,0.99251634
1025_2021-08-01,0.99251634
1025_2021-09-01,0.99251634
1025_2021-10-01,0.97659361
1025_2021-11-01,1.0084391
1025_2021-12-01,1.0880526
1025_2022-01-01,1.0906758
1025_2022-02-01,1.0746365
1025_2022-03-01,1.0960222
1025_2022-04-01,1.0853293
1025_2022-05-01,1.0853293
1025_2022-06-01,1.2189906
1025_2022-07-01,1.3205731
1025_2022-08-01,1.3473054
1025_2022-09-01,1.3526518
1025_2022-10-01,1.3526518
1027_2019-08-01,1.3459716
1027_2019-09-01,1.421801
1027_2019-10-01,1.4502369
1027_2019-11-01,1.5165877
1027_2019-12-01,1.4976304
1027_2020-01-01,1.4774126
1027_2020-02-01,1.4963539
1027_2020-03-01,1.5531774
1027_2020-04-01,1.5058244
1027_2020-05-01,1.5247656
1027_2020-06-01,1.5531774
1027_2020-07-01,1.5815892
1027_2020-08-01,1.5437068
1027_2020-09-01,1.5721185
1027_2020-10-01,1.5437068
1027_2020-11-01,1.5342362
1027_2020-12-01,1.5058244
1027_2021-01-01,1.5342362
1027_2021-02-01,1.4774126
1027_2021-03-01,1.467942
1027_2021-04-01,1.4584714
1027_2021-05-01,1.4205891
1027_2021-06-01,1.4584714
1027_2021-07-01,1.4395303
1027_2021-08-01,1.4205891
1027_2021-09-01,1.4111185
1027_2021-10-01,1.4205891
1027_2021-11-01,1.4963539
1027_2021-12-01,1.467942
1027_2022-01-01,1.4976304
1027_2022-02-01,1.6777251
1027_2022-03-01,1.6777251
1027_2022-04-01,1.6682464
1027_2022-05-01,1.6777251
1027_2022-06-01,1.6872038
1027_2022-07-01,1.6492891
1027_2022-08-01,1.6208531
1027_2022-09-01,1.6208531
1027_2022-10-01,1.5829384
1029_2019-08-01,1.1845658
1029_2019-09-01,1.1932758
1029_2019-10-01,1.2019858
1029_2019-11-01,1.1671457
1029_2019-12-01,1.1671457
1029_2020-01-01,1.2608696
1029_2020-02-01,1.2347826
1029_2020-03-01,1.2869565
1029_2020-04-01,1.2782608
1029_2020-05-01,1.2869565
1029_2020-06-01,1.2695652
1029_2020-07-01,1.2521739
1029_2020-08-01,1.2608696
1029_2020-09-01,1.2695652
1029_2020-10-01,1.2695652
1029_2020-11-01,1.2347826
1029_2020-12-01,1.2434783
1029_2021-01-01,1.2312495
1029_2021-02-01,1.3439695
1029_2021-03-01,1.3092864
1029_2021-04-01,1.3006157
1029_2021-05-01,1.2659326
1029_2021-06-01,1.2832741
1029_2021-07-01,1.2746034
1029_2021-08-01,1.2659326
1029_2021-09-01,1.2832741
1029_2021-10-01,1.2746034
1029_2021-11-01,1.2832741
1029_2021-12-01,1.2746034
1029_2022-01-01,1.2951131
1029_2022-02-01,1.2951131
1029_2022-03-01,1.286479
1029_2022-04-01,1.3210154
1029_2022-05-01,1.3210154
1029_2022-06-01,1.3210154
1029_2022-07-01,1.3555517
1029_2022-08-01,1.3469176
1029_2022-09-01,1.3641858
1029_2022-10-01,1.3555517
1031_2019-08-01,2.0614057
1031_2019-09-01,2.0819428
1031_2019-10-01,2.0716743
1031_2019-11-01,2.1204498
1031_2019-12-01,2.1153154
1031_2020-01-01,2.0906279
1031_2020-02-01,2.0599587
1031_2020-03-01,2.0982952
1031_2020-04-01,2.0906279
1031_2020-05-01,2.1008511
1031_2020-06-01,2.0906279
1031_2020-07-01,2.1085184
1031_2020-08-01,2.0880721
1031_2020-09-01,2.0778491
1031_2020-10-01,2.0599587
1031_2020-11-01,2.0395124
1031_2020-12-01,2.0395124
1031_2021-01-01,1.9998478
1031_2021-02-01,2.0379159
1031_2021-03-01,2.0303023
1031_2021-04-01,2.035378
1031_2021-05-01,2.0709083
1031_2021-06-01,2.0658326
1031_2021-07-01,2.078522
1031_2021-08-01,2.078522
1031_2021-09-01,2.0607567
1031_2021-10-01,2.0658326
1031_2021-11-01,2.075984
1031_2021-12-01,2.1039007
1031_2022-01-01,2.0884521
1031_2022-02-01,2.0934663
1031_2022-03-01,2.1235521
1031_2022-04-01,2.1260593
1031_2022-05-01,2.1034949
1031_2022-06-01,2.1185379
1031_2022-07-01,2.1962593
1031_2022-08-01,2.1511307
1031_2022-09-01,2.1987665
1031_2022-10-01,2.2163165
1033_2019-08-01,2.3123553
1033_2019-09-01,2.3053339
1033_2019-10-01,2.2772486
1033_2019-11-01,2.3474617
1033_2019-12-01,2.3146956
1033_2020-01-01,2.2944016
1033_2020-02-01,2.282743
1033_2020-03-01,2.2944016
1033_2020-04-01,2.3177187
1033_2020-05-01,2.3130553
1033_2020-06-01,2.315387
1033_2020-07-01,2.315387
1033_2020-08-01,2.3503625
1033_2020-09-01,2.3456991
1033_2020-10-01,2.3130553
1033_2020-11-01,2.2897382
1033_2020-12-01,2.3037283
1033_2021-01-01,2.2305522
1033_2021-02-01,2.2189829
1033_2021-03-01,2.2236106
1033_2021-04-01,2.2259245
1033_2021-05-01,2.2351799
1033_2021-06-01,2.2536905
1033_2021-07-01,2.2421212
1033_2021-08-01,2.2467489
1033_2021-09-01,2.2259245
1033_2021-10-01,2.2421212
1033_2021-11-01,2.2444351
1033_2021-12-01,2.2629459
1033_2022-01-01,2.2643073
1033_2022-02-01,2.2896197
1033_2022-03-01,2.3241365
1033_2022-04-01,2.3333411
1033_2022-05-01,2.3402443
1033_2022-06-01,2.3425455
1033_2022-07-01,2.3655567
1033_2022-08-01,2.3586533
1033_2022-09-01,2.3977726
1033_2022-10-01,2.441494
1035_2019-08-01,0.73924053
1035_2019-09-01,0.72911394
1035_2019-10-01,0.73924053
1035_2019-11-01,0.76962024
1035_2019-12-01,0.75949365
1035_2020-01-01,0.79083443
1035_2020-02-01,0.77055663
1035_2020-03-01,0.77055663
1035_2020-04-01,0.78069556
1035_2020-05-01,0.75027883
1035_2020-06-01,0.79083443
1035_2020-07-01,0.79083443
1035_2020-08-01,0.79083443
1035_2020-09-01,0.79083443
1035_2020-10-01,0.84152895
1035_2020-11-01,0.79083443
1035_2020-12-01,0.78069556
1035_2021-01-01,0.80694586
1035_2021-02-01,1.011236
1035_2021-03-01,1.011236
1035_2021-04-01,2.0122573
1035_2021-05-01,2.1246169
1035_2021-06-01,2.1246169
1035_2021-07-01,2.1144025
1035_2021-08-01,2.1552606
1035_2021-09-01,1.2155261
1035_2021-10-01,1.1950971
1035_2021-11-01,1.1746681
1035_2021-12-01,1.1950971
1035_2022-01-01,1.1993383
1035_2022-02-01,1.2096775
1035_2022-03-01,1.17866
1035_2022-04-01,1.1476427
1035_2022-05-01,1.1373036
1035_2022-06-01,1.0545906
1035_2022-07-01,1.1476427
1035_2022-08-01,1.1579818
1035_2022-09-01,1.1373036
1035_2022-10-01,1.095947
1037_2019-08-01,0.56353593
1037_2019-09-01,0.55248618
1037_2019-10-01,0.53038675
1037_2019-11-01,0.519337
1037_2019-12-01,0.50828731
1037_2020-01-01,0.49972236
1037_2020-02-01,0.49972236
1037_2020-03-01,0.53303719
1037_2020-04-01,0.52193224
1037_2020-05-01,0.49972236
1037_2020-06-01,0.57745695
1037_2020-07-01,0.58856189
1037_2020-08-01,0.58856189
1037_2020-09-01,0.59966683
1037_2020-10-01,0.57745695
1037_2020-11-01,0.56635201
1037_2020-12-01,0.57745695
1037_2021-01-01,0.59178203
1037_2021-02-01,0.71460474
1037_2021-03-01,0.73693615
1037_2021-04-01,0.74810183
1037_2021-05-01,0.74810183
1037_2021-06-01,0.74810183
1037_2021-07-01,0.73693615
1037_2021-08-01,0.73693615
1037_2021-09-01,0.71460474
1037_2021-10-01,0.70343906
1037_2021-11-01,0.72577041
1037_2021-12-01,0.71460474
1037_2022-01-01,0.73883355
1037_2022-02-01,0.69405574
1037_2022-03-01,0.69405574
1037_2022-04-01,0.69405574
1037_2022-05-01,0.72763908
1037_2022-06-01,0.75002801
1037_2022-07-01,0.79480577
1037_2022-08-01,0.8171947
1037_2022-09-01,0.8171947
1037_2022-10-01,0.82838911
1039_2019-08-01,1.503708
1039_2019-09-01,1.5378832
1039_2019-10-01,1.5549707
1039_2019-11-01,1.5583884
1039_2019-12-01,1.5481358
1039_2020-01-01,1.5397277
1039_2020-02-01,1.5465862
1039_2020-03-01,1.5397277
1039_2020-04-01,1.5397277
1039_2020-05-01,1.5260108
1039_2020-06-01,1.5328692
1039_2020-07-01,1.5397277
1039_2020-08-01,1.5877371
1039_2020-09-01,1.5945956
1039_2020-10-01,1.5774493
1039_2020-11-01,1.5465862
1039_2020-12-01,1.5328692
1039_2021-01-01,1.5325274
1039_2021-02-01,1.6151806
1039_2021-03-01,1.6324
1039_2021-04-01,1.6324
1039_2021-05-01,1.6289562
1039_2021-06-01,1.6392878
1039_2021-07-01,1.6289562
1039_2021-08-01,1.6392878
1039_2021-09-01,1.6427317
1039_2021-10-01,1.6668389
1039_2021-11-01,1.690946
1039_2021-12-01,1.6633949
1039_2022-01-01,1.6811354
1039_2022-02-01,1.6914703
1039_2022-03-01,1.6604657
1039_2022-04-01,1.6604657
1039_2022-05-01,1.6501309
1039_2022-06-01,1.6604657
1039_2022-07-01,1.6811354
1039_2022-08-01,1.6742456
1039_2022-09-01,1.6673557
1039_2022-10-01,1.6845804
1041_2019-08-01,0.92247486
1041_2019-09-01,0.95042861
1041_2019-10-01,0.91315693
1041_2019-11-01,0.97838241
1041_2019-12-01,0.92247486
1041_2020-01-01,0.95822865
1041_2020-02-01,0.97683507
1041_2020-03-01,0.98613822
1041_2020-04-01,1.0047446
1041_2020-05-01,1.0140479
1041_2020-06-01,1.069867
1041_2020-07-01,1.116383
1041_2020-08-01,1.0605638
1041_2020-09-01,1.0884733
1041_2020-10-01,1.069867
1041_2020-11-01,1.023351
1041_2020-12-01,1.0140479
1041_2021-01-01,1.0243993
1041_2021-02-01,0.9219594
1041_2021-03-01,0.9219594
1041_2021-04-01,0.89402121
1041_2021-05-01,0.89402121
1041_2021-06-01,0.9219594
1041_2021-07-01,0.91264665
1041_2021-08-01,0.94058484
1041_2021-09-01,0.96852303
1041_2021-10-01,0.95921028
1041_2021-11-01,0.98714846
1041_2021-12-01,0.99646115
1041_2022-01-01,1.0053993
1041_2022-02-01,1.0240179
1041_2022-03-01,1.0891826
1041_2022-04-01,1.1078012
1041_2022-05-01,1.1078012
1041_2022-06-01,1.1171104
1041_2022-07-01,1.1915845
1041_2022-08-01,1.0798734
1041_2022-09-01,1.0798734
1041_2022-10-01,1.0612549
1043_2019-08-01,2.4879234
1043_2019-09-01,2.4784517
1043_2019-10-01,2.4926593
1043_2019-11-01,2.4910808
1043_2019-12-01,2.4831877
1043_2020-01-01,2.4489732
1043_2020-02-01,2.4081831
1043_2020-03-01,2.4019077
1043_2020-04-01,2.4819191
1043_2020-05-01,2.4991763
1043_2020-06-01,2.4913321
1043_2020-07-01,2.5242779
1043_2020-08-01,2.53526
1043_2020-09-01,2.5148649
1043_2020-10-01,2.5180025
1043_2020-11-01,2.4364223
1043_2020-12-01,2.4583862
1043_2021-01-01,2.4318762
1043_2021-02-01,2.4739664
1043_2021-03-01,2.49735
1043_2021-04-01,2.5020266
1043_2021-05-01,2.4895554
1043_2021-06-01,2.4755254
1043_2021-07-01,2.5051444
1043_2021-08-01,2.5144978
1043_2021-09-01,2.5129387
1043_2021-10-01,2.5222921
1043_2021-11-01,2.5893247
1043_2021-12-01,2.5955603
1043_2022-01-01,2.5789783
1043_2022-02-01,2.5867138
1043_2022-03-01,2.6269376
1043_2022-04-01,2.6161082
1043_2022-05-01,2.5836196
1043_2022-06-01,2.6238437
1043_2022-07-01,2.6733501
1043_2022-08-01,2.6748972
1043_2022-09-01,2.6841795
1043_2022-10-01,2.6872737
1045_2019-08-01,1.3815006
1045_2019-09-01,1.3682678
1045_2019-10-01,1.3603282
1045_2019-11-01,1.3920869
1045_2019-12-01,1.3815006
1045_2020-01-01,1.3934144
1045_2020-02-01,1.3934144
1045_2020-03-01,1.411958
1045_2020-04-01,1.3987125
1045_2020-05-01,1.3748709
1045_2020-06-01,1.380169
1045_2020-07-01,1.411958
1045_2020-08-01,1.4066597
1045_2020-09-01,1.4410977
1045_2020-10-01,1.4252033
1045_2020-11-01,1.4225543
1045_2020-12-01,1.4093089
1045_2021-01-01,1.4013512
1045_2021-02-01,1.7048453
1045_2021-03-01,1.7048453
